Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
ecocup prix,7,7,720,65.42,0.34,http://www.atelierdugobelet.fr/fr/,5,0.01,1.00,1,37600,"[55,82,82,100,100,67,55,55,82,82,67,82]",1584637233,"Site links, Reviews, Featured snippet, AdWords top, AdWords bottom, Shopping ads"
verre ecocup,5,5,590,65.24,0.44,http://www.atelierdugobelet.fr/fr/,5,0.01,2.00,1,22400,"[36,55,55,67,82,82,82,100,67,55,55,82]",1584180112,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
gobelet avec prenom,7,7,140,70.59,0.30,http://www.atelierdugobelet.fr/fr/,5,0.01,1.00,1,1040000,"[7,2,5,5,12,19,66,100,44,12,7,15]",1583532523,"Image pack, Site links, Reviews, Video"
50cl,15,15,1000,78.72,0.00,http://www.atelierdugobelet.fr/fr/393-gobelets-reutilisable-50cl-60cl,5,0.01,0.00,0.13,4360000,"[77,77,77,68,68,77,68,77,77,100,77,77]",1584054024,"Instant answer, Image pack, Reviews"
gobelet biere personnalisé mariage,4,4,70,64.97,0.79,http://www.atelierdugobelet.fr/fr/,4,0.01,3.00,1,55,"[0,0,0,0,0,0,29,14,14,29,100,14]",1584434124,"Image pack, Site links, Reviews"
gobelet incassable personnalisé,3,3,50,59.92,0.94,http://www.atelierdugobelet.fr/fr/,4,0.01,4.00,1,73,"[50,100,100,100,0,0,50,50,100,100,50,50]",1583962103,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelets carton personnalisés,11,11,90,56.12,1.57,http://www.atelierdugobelet.fr/fr/397-gobelet-en-carton,4,0.01,6.00,1,171000,"[50,50,64,64,100,79,50,50,64,64,100,100]",1582402431,"Image pack, Reviews, AdWords top, AdWords bottom"
gobelet personnalisé pour anniversaire,7,7,110,58.92,0.77,http://www.atelierdugobelet.fr/fr/,4,0.01,3.00,1,580000,"[24,24,24,43,43,67,67,67,67,100,67,43]",1583406187,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
gobelet personnalisé bapteme,8,8,140,58.37,0.57,http://www.atelierdugobelet.fr/fr/,4,0.01,2.00,1,216000,"[16,28,34,53,66,53,100,81,44,16,16,13]",1582460619,"Image pack, Site links, Reviews"
gobelet personnalisé prénom maternelle,13,13,480,76.19,0.65,http://www.atelierdugobelet.fr/fr/,4,0.01,2.00,1,33,"[0,1,1,2,11,45,100,34,6,6,5,6]",1584621753,"Image pack, Site links, Reviews"
recyclage gobelets plastiques gratuit,11,11,90,55.91,1.89,http://www.atelierdugobelet.fr/fr/content/13-le-recyclage-de-nos-gobelets-plastiques,4,0.01,7.00,0.48,0,"[33,33,33,33,100,100,33,33,67,33,67,33]",1583269290,"Image pack, Video, Video Carousel"
porte gobelet plastique,7,7,110,76.24,0.26,http://www.atelierdugobelet.fr/fr/,4,0.01,1.00,1,1680000,"[53,41,53,65,82,100,100,100,65,65,41,53]",1583204369,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet réutilisable gradué,3,3,50,55.88,1.96,http://www.atelierdugobelet.fr/fr/,4,0.01,8.00,1,96,"[0,0,0,0,67,33,33,33,33,100,33,33]",1582352526,"Image pack, Site links, Reviews, AdWords top, AdWords bottom"
réutilisable,13,13,480,84.42,0.23,http://www.atelierdugobelet.fr/fr/388-gobelets-reutilisable-25-cl-33cl,4,0.01,0.00,1,17000000,"[44,36,44,44,54,54,54,67,82,100,100,100]",1584268421,"Instant answer, Image pack, Reviews"
badge décapsuleur,4,4,70,57.25,0.58,http://www.atelierdugobelet.fr/fr/decapsuleur-rond-personnalise/1587-badge-decapsuleur-o-56mm.html,4,0.01,2.00,1,293000,"[33,11,22,100,11,11,11,11,11,11,11,11]",1582762570,"Image pack, Reviews, Video, Shopping ads, Video Carousel"
tour de cou porte verre,4,4,70,54.95,0.63,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,4,0.01,3.00,0.99,14800000,"[100,100,100,100,100,100,100,100,100,100,100,100]",1582237453,"Image pack, Reviews, Shopping ads"
5 bubbles gobelet,3,3,50,70.68,0.25,http://www.atelierdugobelet.fr/fr/,4,0.01,1.00,0.89,1500000,"[14,14,43,14,29,14,14,29,14,100,29,14]",1583611426,"Image pack, Site links, Reviews, Video"
gobelet ecocup,5,5,480,65.63,0.79,http://www.atelierdugobelet.fr/fr/,4,0.01,3.00,1,22700,"[36,44,44,67,67,82,82,100,67,54,54,82]",1584349294,"Image pack, Site links, Reviews, Video Carousel"
20cl cup,11,11,90,70.67,0.00,http://www.atelierdugobelet.fr/en/gobelet-en-carton/625-20cl-paper-cup-without-lid.html,4,0.01,0.00,1,1530000,"[14,29,14,0,14,14,0,14,14,43,100,14]",1582855872,"Instant answer, Image pack, Reviews"
gobelet jetable personnalisé petite quantité,4,4,70,51.65,0.84,http://www.atelierdugobelet.fr/fr/,4,0.01,4.00,1,70,"[14,14,14,14,14,100,57,57,14,14,14,14]",1583043131,"Image pack, Site links, Reviews, Shopping ads"
jeton pour boisson,4,4,70,52.61,0.63,http://www.atelierdugobelet.fr/fr/416-jeton,4,0.01,3.00,0.95,1040000,"[0,0,0,0,0,0,0,0,0,0,100,100]",1582294537,"Image pack, Site links, Reviews, AdWords top, Shopping ads"
jetons pour festival,5,5,70,61.37,0.86,http://www.atelierdugobelet.fr/fr/416-jeton,3,0.01,3.00,0.95,593000,"[11,11,11,11,11,11,11,100,22,11,100,44]",1583944291,"Image pack, Site links, Shopping ads"
ecocup particulier,4,4,50,46.7,0.71,http://www.atelierdugobelet.fr/fr/,3,0.01,2.00,0.76,11000,"[0,0,0,0,0,0,50,100,100,50,50,50]",1582447280,"Site links, Reviews"
verre plastique avec prenom,6,6,70,67.48,0.51,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,1,144000,"[1,1,3,4,3,3,1,100,54,24,1,4]",1582286431,"Image pack, Site links, Reviews, Video, Shopping ads"
gobelet avec son prenom,9,9,110,70.1,0.28,http://www.atelierdugobelet.fr/fr/,3,0.01,0.00,1,364000,"[0,0,0,0,0,28,100,82,28,23,28,28]",1584163490,"Image pack, Site links, Reviews, Video"
gobelet halloween,3,3,40,71.58,0.00,http://www.atelierdugobelet.fr/fr/gobelets-visuels-generiques/19896-gobelet-halloween.html,3,0.01,0.00,0.97,532000,"[8,8,19,8,4,4,4,8,8,65,100,4]",1582291201,"Image pack, Reviews, Shopping ads, Video Carousel"
verre réutilisable festival,3,3,40,65.25,0.95,http://www.atelierdugobelet.fr/fr/,3,0.01,3.00,1,198000,"[25,25,100,50,25,25,50,25,25,25,25,25]",1584035916,"Image pack, Site links, Reviews"
gobelet jetable personnalisé,8,8,110,51.73,0.68,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,3,0.01,2.00,1,121000,"[18,24,29,82,65,82,65,100,65,65,53,65]",1582197066,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
ecocup personnalisé pas cher,7,7,90,55.77,1.02,http://www.atelierdugobelet.fr/fr/,3,0.01,3.00,1,74,"[65,65,82,65,100,100,65,41,29,29,29,29]",1583117015,"Image pack, Site links, Reviews"
verre personnalisé,16,16,3600,68.24,0.42,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,1,14400000,"[29,29,29,44,55,44,44,55,44,82,100,44]",1584626399,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads, Video Carousel"
