Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet à anse,53,53,40,75.15,0.00,https://wobz.fr/gobelet-personnalise-noces-d-or-50-ans.html,0,0,0.00,1,468000,"[0,0,0,100,14,14,29,43,14,29,29,71]",1583955046,"Image pack, Reviews"
ibiza entre filles,55,55,70,68.89,0.00,https://wobz.fr/gobelet-personnalise-pour-evjf-ibiza-rose.html,0,0,0.00,0,1780000,"[14,14,100,14,29,29,14,14,29,29,14,14]",1582319854,"Image pack, Reviews, Video, AdWords bottom, Video Carousel"
gobelet a personnaliser,13,13,50,67.65,0.98,https://wobz.fr/,0,0,0.00,1,365000,"[60,40,20,20,20,20,20,100,20,80,20,20]",1583800705,"Image pack, Site links, Reviews, Video, AdWords top"
gourde sport personnalisée unité,44,44,140,66.91,0.79,https://wobz.fr/gourdes-personnalisees-tacx-shiva-7cm-500ml.html,0,0,0.00,1,59,"[35,27,35,54,54,54,35,27,54,65,100,81]",1584018271,"Image pack, Reviews, AdWords bottom"
verre personnalisé avec photo,52,52,40,63.87,0.41,https://wobz.fr/gobelet-personnalise-33cl-qualite-photo-impression-7cm.html,0,0,0.00,1,8760000,"[35,2,2,8,2,23,44,2,2,2,100,67]",1583076323,"Image pack, Reviews, Video, Shopping ads"
naissance garçon cigogne,58,58,50,77.42,0.00,https://wobz.fr/gobelet-personnalisable-naissance-effet-brode.html,0,0,0.00,0,143000,"[0,0,0,0,14,71,14,57,43,100,14,14]",1583778099,"Image pack, Reviews, Video"
incassable theme,47,47,70,90.46,0.00,https://wobz.fr/gobelet-personnalise-mariage-car.html,0,0,0.00,0,184000,"[22,11,11,44,33,11,11,0,11,100,11,11]",1584250016,"Image pack, Reviews, Video, Featured video"
noeud papillon personnalisé,38,38,170,54.67,0.33,https://wobz.fr/gobelet-personnalise-evg-noeud-papillon.html,0,0,0.00,1,596000,"[52,67,100,81,100,81,52,67,52,52,81,100]",1584157583,"Image pack, Site links, Reviews"
sérigraphie sur verre à vin,90,90,50,51.03,0.46,https://wobz.fr/gobelet-personnalise-25cl-impression-serigraphie-2-couleurs.html,0,0,0.00,0.79,386000,"[14,14,29,14,14,14,29,14,43,43,100,14]",1582287271,"Image pack, Reviews, Video, AdWords bottom, Shopping ads"
gobelet rouge et bleu,54,54,70,74.2,0.00,https://wobz.fr/gobelet-personnalise-bleu-fonce-25cl-qualite-photo.html,0,0,0.00,1,2810000,"[100,50,50,50,100,50,50,100,50,50,50,50]",1583403477,"Image pack, Reviews, Video, Shopping ads"
coffret cadeau verre,31,31,70,75.58,0.51,https://wobz.fr/coffret-cremant-de-bourgogne-et-verres-a-vin-en-verre.html,0,0,0.00,1,18100000,"[33,0,33,33,33,33,100,33,0,33,33,33]",1582608747,"Image pack, Reviews, AdWords bottom, Shopping ads"
verre à vin plastique personnalisé,20,20,70,63,0.54,https://wobz.fr/verres-personnalises-en-tritan/verres-a-vin-personnalises-en-plastique.html,0,0,0.00,0.97,1950000,"[20,80,20,20,20,20,100,40,20,20,20,20]",1584286210,"Image pack, Site links, Reviews"
mariage discount avis,60,60,50,77.99,0.00,https://wobz.fr/gobelet-personnalisable-mariage-pink-flower.html,0,0,0.00,0.08,5120000,"[57,14,14,100,14,14,14,14,14,14,14,14]",1582952245,"Image pack, Site links, Reviews, Video"
noces de 70 ans,76,76,110,83.3,0.00,https://wobz.fr/gobelet-personnalise-noces-de-platine-70-ans.html,0,0,0.00,0,3610000,"[64,79,50,64,79,79,100,100,100,100,79,64]",1583221232,"Image pack, Site links, Reviews, Video Carousel, People also ask"
coffret evjf,48,48,70,69.92,0.00,https://wobz.fr/gobelet-personnalise-pour-evjf-robe-mariee.html,0,0,0.00,0.5,146000,"[11,100,11,11,11,11,11,44,33,11,11,11]",1583770946,"Image pack, Site links, Reviews"
gobelets plastiques réutilisables personnalisés,72,72,50,60.57,1.55,https://wobz.fr/,0,0,0.00,1,177000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1584068667,"Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
personnalisation de verre,15,15,50,65.25,0.33,https://wobz.fr/verres-personnalises-en-verre,0,0,0.00,1,47100000,"[22,78,56,11,22,56,11,11,11,22,11,100]",1583826164,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
cocktail attire deutsch,87,87,40,64.28,0.00,https://wobz.fr/tubo-long-drink-personnalise-impression-qualite-photo-14-cm.html,0,0,0.00,0,1660000,"[0,0,0,0,0,0,0,0,0,0,100,0]",1582585249,"Image pack, Site links, Reviews"
lime pour verre,75,75,50,72.89,0.00,https://wobz.fr/tubo-long-lime-personnalise-blanc-impression-qualite-photo-14cm.html,0,0,0.00,0.94,9000000,"[33,11,100,11,11,22,11,11,11,56,11,11]",1582387679,"Reviews, Video Carousel, People also ask"
verre a eau incassable,12,12,70,57.25,0.00,https://wobz.fr/verre-a-eau-personnalise-pure-en-plastique-qualite-photo.html,0,0,0.00,1,582000,"[14,71,14,14,29,14,29,14,100,14,57,14]",1582770020,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
dalvin sas,13,13,50,73,0.00,https://wobz.fr/,0,0,0.00,0.01,24,"[20,20,40,20,60,20,40,20,20,20,100,20]",1583102993,"Knowledge panel, Image pack, Site links, Reviews, Video"
verre plastique personnalisé mariage,14,14,140,65.62,0.68,https://wobz.fr/gobelet-personnalise-mariage-car.html,0,0,0.00,1,2580000,"[42,35,100,81,65,81,81,54,54,35,19,19]",1583600843,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
gobelet personnalisé plastique,34,34,40,61.1,0.48,https://wobz.fr/,0,0,0.00,1,335000,"[14,14,14,14,14,71,100,29,14,29,14,14]",1582408879,"Image pack, Site links, Reviews, AdWords top"
