Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gourde 50 cl,17,21,260,80.9,0.17,https://cupkiller.com/fr/gourdes-vierges/1364-gourde-50-cl-sans-impression-tacx-shiva.html,1,0,0.00,1,319000,"[29,35,29,29,44,54,54,100,67,67,100,54]",1584630162,"Image pack, Site links, Reviews, Shopping ads"
vistaprint gobelet,5,5,110,68.26,1.04,https://cupkiller.com/,1,0,1.00,1,27,"[65,82,82,82,100,100,82,82,41,29,29,41]",1584548345,"Image pack, Site links, Reviews, AdWords top"
eco verre,6,6,110,62.32,0.75,https://cupkiller.com/,1,0,0.00,1,35900000,"[29,65,82,65,100,82,82,53,65,53,53,41]",1582472901,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
jetons festival pas cher,9,9,40,53.53,0.69,https://cupkiller.com/fr/84-jetons-personnalises,1,0,0.00,1,67,"[0,0,0,0,25,25,25,25,100,25,25,25]",1583770576,"Image pack, Site links, Reviews, Video"
gobelet 50 cl,13,13,140,69.46,0.37,https://cupkiller.com/fr/gobelet-vierge-50-cl/1108-gobelet-translucide-50cl-sans-impression.html,1,0,0.00,1,951000,"[43,52,81,67,100,100,67,67,67,67,67,52]",1583314990,"Image pack, Reviews, AdWords top, Shopping ads"
flute champagne plastique,30,30,880,82.26,0.36,https://cupkiller.com/fr/verres-personnalises-plastique/1378-flute-a-champagne-plastique-personnalise-effervescence.html,1,0,0.00,1,299000,"[59,88,88,88,100,88,88,100,100,88,88,88]",1584498327,"Image pack, Reviews, Shopping ads"
gobelet plastique rigide personnalisé,2,2,70,60.02,0.72,https://cupkiller.com/,1,0,1.00,1,91,"[100,33,33,33,33,33,33,67,100,33,33,33]",1583083071,"Image pack, Site links, Reviews, Shopping ads"
porte gobelet festival,16,16,260,64.6,0.56,https://cupkiller.com/,1,0,0.00,1,458000,"[15,19,29,29,54,100,100,54,44,19,24,29]",1583683144,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet enfant personnalisé,13,13,170,65.58,0.36,https://cupkiller.com/fr/gobelet-preset/1241-gobelet-personnalise-25cl-fete-des-ecoles-enfants-qualite-photo.html,1,0,0.00,1,582000,"[1,4,7,13,24,82,100,44,7,4,7,7]",1584538116,"Image pack, Site links, Reviews, Video, FAQ"
atelier gobelet,6,6,110,78.6,0.56,https://cupkiller.com/,1,0,0.00,0.88,1060000,"[29,41,53,65,100,100,82,53,41,65,53,41]",1583525161,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
achat gobelet recyclable,2,2,40,58.51,0.00,https://cupkiller.com/,1,0,0.00,0,165000,"[29,14,100,14,43,14,14,29,14,43,29,0]",1582540157,"Image pack, Site links, Reviews"
eco cup lyon,2,2,40,61.88,0.68,https://cupkiller.com/,1,0,0.00,0.6,3520000,"[0,0,0,0,0,0,0,33,33,33,100,33]",1583645442,"Knowledge panel, Image pack, Site links, Reviews, Video"
une timbale en plastique,12,12,140,76.55,0.00,https://cupkiller.com/,1,0,0.00,0.98,167000,"[22,28,16,34,44,53,81,100,44,53,34,34]",1584383042,"Image pack, Site links, Reviews, Video, Image, Video Carousel"
atelier du gobelets,4,4,110,77.79,0.73,https://cupkiller.com/,1,0,1.00,0.97,3360000,"[50,64,79,100,100,79,64,100,64,64,36,79]",1584223119,"Knowledge panel, Site links, AdWords top, Video Carousel"
commande ecocup personnalisé,2,2,40,62.5,0.63,https://cupkiller.com/,1,0,0.00,1,93,"[0,0,0,0,0,0,33,100,33,33,33,33]",1584325598,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
atelier du gobelet fr,6,6,110,68.77,0.44,https://cupkiller.com/,1,0,0.00,0.49,675000,"[43,43,33,33,43,52,67,67,100,81,81,67]",1582233084,"Knowledge panel, Image pack, Site links, Reviews, AdWords top"
noce de platine,31,31,1900,81.59,0.00,https://cupkiller.com/fr/noces/1004-gobelet-personnalisable-noce-de-platine-bird.html,1,0,0.00,0,105000,"[42,67,100,79,79,100,100,79,79,67,67,54]",1584158252,"Image pack, Video, Featured snippet, Video Carousel, People also ask"
cupkiller dj,2,2,40,42.77,0.00,https://cupkiller.com/fr/actu/blog/des-gobelets-personnalises-qui-pulsent-aux-reperkusound-13,1,0,0.00,0.29,18,"[0,33,0,0,33,33,0,33,0,0,33,100]",1582369198,"Image pack, Video Carousel"
barathon bruxelles,10,10,50,71.69,0.00,https://cupkiller.com/fr/actu//my-barathon-,1,0,0.00,0,67400,"[33,33,100,100,33,33,33,33,67,33,33,33]",1583470200,"Image pack, Site links, Reviews, Video"
gravure au laser sur verre,94,94,40,57.17,0.63,https://cupkiller.com/fr/verres-personnalises-plastique/1414-verre-a-vin-plastique-cabernet-gravure-laser.html,0,0,0.00,1,2020000,"[40,100,20,20,20,40,20,20,80,100,20,20]",1583047595,"Local pack, Image pack, Reviews, AdWords top, AdWords bottom, Shopping ads, Video Carousel"
verre plastique a pied,29,29,90,75.61,0.34,https://cupkiller.com/fr/promotions/1028-verre-a-pieds-sky-blanc-opaque-tritan.html,0,0,0.00,1,15000000,"[33,33,33,33,100,33,33,33,33,33,33,33]",1583249492,"Image pack, Reviews"
support ceinture,88,88,50,83.31,0.53,https://cupkiller.com/fr/accessoires/298-porte-gobelet-porte-ceinture.html,0,0,0.00,1,19100000,"[11,11,44,33,22,22,11,11,100,11,11,11]",1583722353,"Image pack, Reviews, Video Carousel"
vasque metal,59,59,110,76.96,0.44,https://cupkiller.com/fr/promotions/1036-vasque-6-bouteille-san-pied-metal.html,0,0,0.00,1,96,"[50,50,50,100,79,79,100,100,79,100,100,64]",1582864990,"Image pack, Reviews, Video"
reperkusound lyon,52,52,140,63.59,0.00,https://cupkiller.com/fr/actu/blog/-le-festival-reperkusound-de-lyon-avec-cupkiller,0,0,0.00,0,73,"[19,24,44,100,4,1,3,3,3,3,4,13]",1582791673,"Knowledge panel, Image pack, Site links, Tweet, Video Carousel"
verre a vin plastique,21,21,390,76.6,0.31,https://cupkiller.com/fr/vaisselle-reutilisable/271-verre-vin-47cl.html,0,0,0.00,1,8940000,"[44,66,66,81,100,100,100,100,54,66,66,54]",1584223107,"Image pack, Reviews, Video, Shopping ads"
nomade festival frangy 2018,23,23,50,66.9,0.00,https://cupkiller.com/fr/actu/blog/nomade-reggae-festival-de-frangy,0,0,0.00,0,47,"[14,14,14,14,29,100,14,43,14,0,0,0]",1582994343,"Image pack, Site links, Video Carousel"
verre pour anniversaire,36,36,90,74.41,0.00,https://cupkiller.com/,0,0,0.00,1,31200000,"[20,20,60,20,20,100,20,20,20,20,20,20]",1583391853,"Image pack, Reviews, Video, Image, AdWords bottom, Shopping ads"
verre à vin plastique,21,21,110,64.38,0.39,https://cupkiller.com/fr/verres-personnalises-plastique/1377-verre-a-vin-plastique-personnalise-syrah.html,0,0,0.00,1,8590000,"[50,50,36,79,79,100,100,100,64,79,79,64]",1582570379,"Image pack, Reviews, Video"
prix verre,77,71,170,73.35,0.22,https://cupkiller.com/,0,0,0.00,1,178000000,"[65,100,65,65,54,54,54,65,81,81,81,81]",1584621236,"Image pack, Site links, Reviews"
verre a vin evase,46,46,40,76.16,0.53,https://cupkiller.com/fr/verres-personnalises-plastique/1417-verre-a-vin-plastique-pool-party-gravure-laser.html,0,0,0.00,1,180000,"[14,57,14,14,29,71,14,29,14,14,100,43]",1582899891,"Image pack, Reviews, People also ask"
pinte biere personnalisable,52,52,50,70.97,0.33,https://cupkiller.com/,0,0,0.00,1,85,"[33,11,56,0,0,11,11,11,11,11,11,100]",1583834847,"Image pack, Reviews, AdWords top, Shopping ads"
100 gobelets plastique,55,55,40,80.19,0.40,https://cupkiller.com/,0,0,0.00,1,1440000,"[20,20,20,40,20,100,40,20,20,40,60,60]",1584160300,"Image pack, Reviews, AdWords top, Shopping ads"
verre a eau design,88,88,90,84.87,0.15,https://cupkiller.com/fr/verres-personnalises/1359-verre-a-eau-personnalise-lounge.html,0,0,0.00,1,56400000,"[67,43,14,24,24,24,33,52,33,67,81,100]",1583729949,"Image pack, Site links, Reviews"
brugs bier festival,67,67,50,69.72,0.00,https://cupkiller.com/fr/actu//my-barathon-,0,0,0.00,0,87,"[100,20,20,0,0,20,0,0,0,20,20,0]",1583409693,"Image pack, Site links, Reviews, Video, Video Carousel"
verre enfant avec prenom,18,18,50,62.56,0.00,https://cupkiller.com/,0,0,0.00,1,0,"[43,14,100,29,14,14,43,14,14,29,57,14]",1583281240,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
nuancier vert pantone,63,63,70,71.88,0.00,https://cupkiller.com/fr/services/284-choix-du-code-pantone.html,0,0,0.00,0.01,203000,"[11,22,11,11,11,11,11,11,11,100,11,33]",1583039131,"Image pack, Reviews"
eco cup logo,3,3,40,61.76,0.94,https://cupkiller.com/,0,0,0.00,0.53,105000000,"[100,11,11,33,78,11,22,11,22,44,11,11]",1583370495,"Image pack, Site links, Reviews, AdWords bottom"
dessin cousinade,72,72,50,71.63,0.00,https://cupkiller.com/fr/cousinade/996-gobelet-personnalisable-cousinade-tree.html,0,0,0.00,0,89400,"[100,50,50,50,100,50,50,50,100,50,50,50]",1583979100,"Image pack, Reviews"
verre à pied plastique rigide,32,32,70,66.48,0.00,https://cupkiller.com/,0,0,0.00,1,90,"[11,56,56,11,56,11,11,11,100,11,11,11]",1582808837,"Image pack, Site links, Reviews"
spiderman la ville qui ne dort jamais,46,46,110,65.43,0.00,https://cupkiller.com/fr/actu/blog/on-senvole-pour-la-ville-qui-ne-dort-jamais-,0,0,0.00,0.16,72,"[52,24,67,81,67,81,100,100,33,24,33,43]",1583234781,"Image pack, Reviews, Video, Featured snippet, Video Carousel"
pantone gourde,33,33,90,56.87,0.00,https://cupkiller.com/fr/services/284-choix-du-code-pantone.html,0,0,0.00,1,321000,"[0,0,0,0,25,25,25,25,25,100,25,25]",1582566328,"Image pack, Reviews"
gourde sport personnalisée unité,26,26,140,66.91,0.79,https://cupkiller.com/fr/163-gourdes-personnalisees,0,0,0.00,1,59,"[35,27,35,54,54,54,35,27,54,65,100,81]",1584018271,"Image pack, Reviews, AdWords bottom"
long drink,86,86,590,83.82,0.00,https://cupkiller.com/fr/verres-vierge/1389-tubo-plastique-long-drink-vierge.html,0,0,0.00,0.05,3130000000,"[66,81,81,81,100,100,100,81,100,81,100,81]",1584238272,"Knowledge panel, Site links, Reviews, Image"
gobelet maternelle,31,31,110,78.15,0.31,https://cupkiller.com/,0,0,0.00,1,357000,"[2,2,2,2,5,12,54,100,36,3,3,3]",1583964456,"Image pack, Site links, Reviews, Video Carousel"
verre personnalisé avec photo,26,26,40,63.87,0.41,https://cupkiller.com/,0,0,0.00,1,8760000,"[35,2,2,8,2,23,44,2,2,2,100,67]",1583076323,"Image pack, Reviews, Video, Shopping ads"
festival cups,69,69,50,52.54,0.00,https://cupkiller.com/,0,0,0.00,0.25,90000000,"[50,100,50,100,100,50,50,50,50,50,50,50]",1582570982,"Image pack, Site links, Reviews, Video Carousel"
goblet americain,33,33,90,74,0.27,https://cupkiller.com/,0,0,0.00,0.98,37300,"[14,29,14,14,14,100,57,14,14,29,71,14]",1582326535,"Image pack, Reviews, Video"
noeud papillon personnalisé,65,65,170,54.67,0.33,https://cupkiller.com/fr/evjf-evg/1014-gobelet-personnalisable-evjg-noeud-papillon.html,0,0,0.00,1,596000,"[52,67,100,81,100,81,52,67,52,52,81,100]",1584157583,"Image pack, Site links, Reviews"
gobelet plastique recyclable ou non,41,41,50,65.16,0.66,https://cupkiller.com/,0,0,0.00,0.5,519000,"[0,0,40,40,100,20,80,20,20,20,20,20]",1584163327,"Featured snippet, People also ask"
le meilleur patissier 2017 jury,32,32,50,90.88,0.00,https://cupkiller.com/fr/actu//le-meilleur-patissier-2017,0,0,0.00,0,81,"[0,0,100,0,0,0,0,0,0,0,0,0]",1583788213,"Image pack, Site links, Reviews, Video, Featured snippet, Video Carousel"
coffret alcool pour noel,42,42,70,72.23,0.00,https://cupkiller.com/fr/coffrets/1391-coffret-biere-de-noel-cuvee-tradition.html,0,0,0.00,1,4480000,"[11,0,0,0,0,0,0,0,0,0,11,100]",1582468691,"Image pack, Reviews"
l atelier du gobelet nantes,5,5,50,75.16,0.54,https://cupkiller.com/,0,0,0.00,0.48,92,"[11,11,22,44,100,11,22,22,11,11,11,100]",1584300018,"Knowledge panel, Image pack, Site links, Reviews"
coup de pouce halloween,17,17,40,70.18,0.00,https://cupkiller.com/fr/halloween/1366-gobelet-personnalise-halloween.html,0,0,0.00,0,2770000,"[0,0,0,11,0,0,0,0,100,11,0,0]",1582975482,"Image pack, Reviews, Video, Video Carousel"
sérigraphie sur plastique,52,52,110,53.44,0.81,https://cupkiller.com/fr/verres-personnalises-plastique/1438-carafe-15l-serigraphie-1-couleur.html,0,0,0.00,1,961000,"[15,19,27,35,27,54,100,65,54,27,27,19]",1582980515,"Image pack, Reviews, Video Carousel"
exposition des super heros,88,88,90,78.06,0.00,https://cupkiller.com/fr/actu/blog/lexposition-super-heros,0,0,0.00,0.07,52500000,"[25,25,25,75,0,0,0,25,25,25,25,100]",1584161085,"Image pack, Site links, Video Carousel"
sérigraphie sur verre à vin,18,18,50,51.03,0.46,https://cupkiller.com/fr/verres-personnalises-plastique/1377-verre-a-vin-plastique-personnalise-syrah.html,0,0,0.00,0.79,386000,"[14,14,29,14,14,14,29,14,43,43,100,14]",1582287271,"Image pack, Reviews, Video, AdWords bottom, Shopping ads"
le meilleure patissier 2017,33,33,70,92.53,0.00,https://cupkiller.com/actu//le-meilleur-patissier-2017,0,0,0.00,0,97,"[100,20,100,100,20,0,20,20,20,20,20,40]",1583911451,"Image pack, Site links, Reviews, Video, Featured snippet, Image, Video Carousel"
gobelet rouge et bleu,24,24,70,74.2,0.00,https://cupkiller.com/fr/gobelet-a-personnaliser-25-cl-impression-serigraphie-2-couleurs/1069-gobelet-personnalise-rouge-2-couleurs-25cl.html,0,0,0.00,1,2810000,"[100,50,50,50,100,50,50,100,50,50,50,50]",1583403477,"Image pack, Reviews, Video, Shopping ads"
verre opaque blanc,86,86,110,71.01,0.18,https://cupkiller.com/fr/promotions/1028-verre-a-pieds-sky-blanc-opaque-tritan.html,0,0,0.00,0.97,2090000,"[64,50,50,64,79,64,64,100,100,100,100,64]",1582828541,"Image pack, Site links, Reviews, Video Carousel"
gourde rugby,16,16,170,67.05,0.23,https://cupkiller.com/fr/gourdes-thematiques/1351-gourde-personnalisee-club-rugby.html,0,0,0.00,1,1940000,"[15,19,15,15,15,19,10,23,100,81,44,19]",1583553863,"Image pack, Reviews, Video"
festival evasion,74,74,390,81.04,0.00,https://cupkiller.com/fr/actu/blog/grosse-chaleur-annoncee-sur-les-gobelets-de-levasion-festival-,0,0,0.00,0.01,16400000,"[7,9,14,17,21,53,100,6,4,2,1,2]",1583792120,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
évasion festival,67,67,210,79.65,0.00,https://cupkiller.com/fr/actu/blog/grosse-chaleur-annoncee-sur-les-gobelets-de-levasion-festival-,0,0,0.00,0,18700000,"[4,9,14,21,26,72,100,3,5,1,1,1]",1583975349,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
orange 1,46,46,50,95.56,0.00,https://cupkiller.com/fr/gobelet-a-personnaliser-25-cl-impression-serigraphie-1-couleur/1060-gobelet-personnalise-orange-1-couleur-25cl.html,0,0,0.00,0.05,15050000000,"[20,20,20,100,20,20,20,20,20,40,20,60]",1583490250,"Knowledge panel, Local pack, Top stories, Reviews, Video Carousel"
eco tasse personnalisable,85,85,50,52.79,0.52,https://cupkiller.com/,0,0,0.00,1,133000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1582524152,"Image pack, Reviews"
flute champagne personnalisée bapteme,49,49,50,53.96,0.00,https://cupkiller.com/,0,0,0.00,0,63,"[20,20,20,20,20,100,60,20,20,20,20,0]",1583771652,"Image pack, Reviews"
verre à whisky personnalisable,69,69,50,71.5,0.52,https://cupkiller.com/fr/verres-personnalises/1359-verre-a-eau-personnalise-lounge.html,0,0,0.00,1,81,"[100,12,12,6,12,6,6,53,12,6,65,100]",1583867293,"Image pack, Reviews, Video, Shopping ads"
location lave vaisselle,27,27,260,70.76,0.56,https://cupkiller.com/fr/accueil/348-location-lave-vaisselle.html,0,0,0.00,0.44,28800000,"[44,44,54,44,54,35,67,100,67,67,54,67]",1584493113,"Site links, Reviews, Featured snippet"
chant gobelet,52,52,40,73.6,0.00,https://cupkiller.com/fr/actu/blog/les-ramoneurs-de-menhirs-en-tournee-avec-leurs-gobelets-personnalises,0,0,0.00,1,0,"[20,20,100,20,0,20,20,20,0,80,40,20]",1583265249,"Image pack, Reviews, Video"
jeton buvette pas cher,14,14,50,59.34,0.87,https://cupkiller.com/fr/84-jetons-personnalises,0,0,0.00,1,28,"[0,0,0,0,0,0,0,0,0,0,67,100]",1583543528,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
personnalisation de verre,17,17,50,65.25,0.33,https://cupkiller.com/,0,0,0.00,1,47100000,"[22,78,56,11,22,56,11,11,11,22,11,100]",1583826164,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
gourde ecolo personnalisable,80,80,70,66.22,0.46,https://cupkiller.com/,0,0,0.00,1,126000,"[0,0,0,0,0,0,0,0,0,50,50,100]",1583972956,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
reggae paul,35,35,50,67.81,0.00,https://cupkiller.com/fr/actu/blog/sean-paul-legende-du-reggae-dancehall-a-debarque-a-lyon-chez-notre-partenaire-du-transbordeur-,0,0,0.00,0,53400000,"[40,100,20,20,20,20,60,80,20,20,40,20]",1582384143,"Image pack, Site links, Reviews, Video, Video Carousel"
ecocup tarif,5,5,90,59.62,0.50,https://cupkiller.com/,0,0,0.00,1,14000,"[11,11,100,100,11,11,44,11,56,33,22,100]",1583554220,"Site links, Reviews, Featured snippet, AdWords bottom"
gobelet en verre,28,28,170,86.07,0.23,https://cupkiller.com/,0,0,0.00,1,5100000,"[53,34,44,53,44,44,44,81,66,66,66,100]",1584093884,"Local pack, Image pack, Reviews, Shopping ads"
mug personnalisé vistaprint,57,57,170,81.66,0.87,https://cupkiller.com/,0,0,0.00,1,89,"[15,15,12,12,15,15,15,15,15,29,81,100]",1583834886,"Image pack, Reviews, Video"
team building au maroc,60,60,70,40.93,0.00,https://cupkiller.com/fr/actu/blog/les-aventures-de-cupkiller-en-team-building-au-maroc,0,0,0.00,0.62,11500000,"[14,14,29,0,14,29,0,14,14,0,0,100]",1583387882,Video Carousel
verre a eau incassable,37,37,70,57.25,0.00,https://cupkiller.com/fr/verres-personnalises-plastique/1376-verre-a-eau-plastique-personnalise-pure.html,0,0,0.00,1,582000,"[14,71,14,14,29,14,29,14,100,14,57,14]",1582770020,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
dalvin sas,11,11,50,73,0.00,https://cupkiller.com/,0,0,0.00,0.01,24,"[20,20,40,20,60,20,40,20,20,20,100,20]",1583102993,"Knowledge panel, Image pack, Site links, Reviews, Video"
verre vin polycarbonate,50,50,50,70.31,0.00,https://cupkiller.com/fr/vaisselle-reutilisable/271-verre-vin-47cl.html,0,0,0.00,1,89,"[14,14,14,14,57,14,29,14,100,14,14,14]",1583770737,"Image pack, Reviews, Video"
jetons buvette,15,15,110,54.17,0.37,https://cupkiller.com/fr/84-jetons-personnalises,0,0,0.00,1,549000,"[41,65,65,41,100,100,65,53,65,41,29,41]",1583203749,"Image pack, Site links, Reviews, Video"
contenance d un verre à eau,53,53,70,82.56,0.00,https://cupkiller.com/fr/verres-personnalises/1359-verre-a-eau-personnalise-lounge.html,0,0,0.00,1,2780000,"[40,20,20,60,20,20,100,100,20,80,40,40]",1583012828,"Image pack, Site links, Reviews, Featured snippet, People also ask"
fete de la coquille etaples 2018,23,23,50,59.68,0.00,https://cupkiller.com/fr/actu/blog/cupkiller-vogue-jusqua-etaples-pour-la-fete-de-la-coquille,0,0,0.00,0,47,"[14,43,14,100,71,29,0,0,29,0,14,57]",1583207009,"Site links, Reviews, Featured snippet, Video Carousel"
recette des meilleur patissier 2017,42,42,70,85.41,0.00,https://cupkiller.com/actu//le-meilleur-patissier-2017,0,0,0.00,0,88,"[0,0,0,0,0,0,0,100,0,100,0,0]",1584270046,"Image pack, Reviews, Image, Video Carousel"
chope a biere 33cl,58,58,110,71.43,0.23,https://cupkiller.com/fr/promotions/1031-chope-bieremug-ps.html,0,0,0.00,1,92,"[43,43,33,43,33,43,43,52,33,43,67,100]",1583156280,"Image pack, Reviews"
verre à vin gravé,30,30,170,68.4,0.56,https://cupkiller.com/fr/verres-personnalises-plastique/1414-verre-a-vin-plastique-cabernet-gravure-laser.html,0,0,0.00,1,11200000,"[35,23,29,15,23,15,29,23,23,44,67,100]",1583720209,"Image pack, Site links, Reviews, Video"
beau verre a vin,56,56,110,79.77,0.43,https://cupkiller.com/fr/verres-personnalises-plastique/1377-verre-a-vin-plastique-personnalise-syrah.html,0,0,0.00,1,12100000,"[16,22,13,16,13,22,22,28,34,66,100,44]",1584342577,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
contenance gobelet plastique standard,43,43,50,62.7,0.00,https://cupkiller.com/fr/promotions/1028-verre-a-pieds-sky-blanc-opaque-tritan.html,0,0,0.00,1,47,"[14,14,29,14,57,14,14,29,100,14,14,14]",1582216738,"Image pack, Site links, Reviews, Featured snippet, Shopping ads"
gourde motocross personnalisée,16,16,50,65.92,0.58,https://cupkiller.com/fr/163-gourdes-personnalisees,0,0,0.00,1,43,"[0,0,0,0,0,0,0,0,0,0,100,33]",1583436422,"Image pack, Shopping ads"
caisse à vin plastique,63,63,90,70.77,0.00,https://cupkiller.com/fr/verres-personnalises-plastique/1377-verre-a-vin-plastique-personnalise-syrah.html,0,0,0.00,1,7190000,"[100,11,11,11,44,11,11,11,11,44,11,33]",1582754395,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
vainqueur du meilleur patissier 2017,32,32,50,92.96,0.00,https://cupkiller.com/actu//le-meilleur-patissier-2017,0,0,0.00,0,69,"[100,0,0,0,0,100,0,0,0,100,100,100]",1583730009,"Image pack, Site links, Reviews, Featured snippet, Video Carousel, People also ask"
gobelet timbale,40,40,50,70.2,0.00,https://cupkiller.com/,0,0,0.00,1,118000,"[11,11,22,11,11,56,22,78,11,100,22,11]",1582285785,"Knowledge panel, Image pack, Site links, Reviews, Image, Video Carousel"
50 cl to l,51,51,40,78.22,0.00,https://cupkiller.com/fr/gobelet-vierge-50-cl/1108-gobelet-translucide-50cl-sans-impression.html,0,0,0.00,0,1730000000,"[14,57,14,14,100,14,14,14,71,71,29,14]",1583171566,"Instant answer, Reviews, People also ask"
catalogue anniversaire,59,59,40,87,0.00,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,0,0,0.00,0.24,21000000,"[57,14,14,14,14,14,14,14,14,100,14,14]",1584001140,"Image pack, Site links"
logo verre de vin,90,90,110,66.98,0.00,https://cupkiller.com/,0,0,0.00,0.14,13700000,"[29,24,24,29,53,53,82,65,82,82,100,100]",1584061824,"Image pack, Reviews"
canard duchene premier cru,64,64,50,74.25,0.00,https://cupkiller.com/fr/coffrets/1402-coffret-champagne-canard-duchene.html,0,0,0.00,0.74,70,"[11,11,11,33,11,11,78,100,11,11,33,22]",1582937533,"Image pack, Reviews"
plastique prix,31,0,50,75.17,0.00,https://cupkiller.com/,0,0,0.00,0.73,119000000,"[11,11,11,22,11,11,11,11,100,22,33,56]",1584617046,"Reviews, Featured snippet"
coffret vin personnalisé pas cher,79,79,50,73.34,1.94,https://cupkiller.com/fr/177-coffrets,0,0,0.00,1,1120000,"[11,11,22,56,11,11,100,22,33,11,11,56]",1583723212,"Image pack, Reviews"
photo sur verre pur,22,22,50,72.55,0.57,https://cupkiller.com/fr/verres-personnalises-plastique/1376-verre-a-eau-plastique-personnalise-pure.html,0,0,0.00,1,19400000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1583074707,"Image pack, Site links, Reviews, Video, Image"
sum 41 villeurbanne,79,79,50,65.74,0.00,https://cupkiller.com/de/actu//transbordeur-confiance-cupkiller,0,0,0.00,0,0,"[0,100,0,0,0,0,0,0,0,0,0,0]",1583266582,"Image pack, Site links, Reviews, Video"
gobelet en plastique couleur,47,47,40,76.86,0.00,https://cupkiller.com/fr/gobelet-a-personnaliser-25-cl-impression-serigraphie-1-couleur/1149-gobelet-personnalise-blanc-1-couleur-25cl.html,0,0,0.00,1,1540000,"[33,67,33,67,67,33,33,33,33,33,100,33]",1582608320,"Image pack, Reviews, Video"
customiser des verres,40,40,50,72.09,0.00,https://cupkiller.com/,0,0,0.00,0.61,303000,"[25,25,25,50,25,75,75,25,100,25,25,25]",1582352384,"Image pack, Reviews, Video, Featured snippet, Video Carousel"
verre américain plastique,27,27,50,76.77,0.00,https://cupkiller.com/,0,0,0.00,1,3200000,"[20,20,0,20,0,0,0,20,0,20,100,20]",1584294456,"Image pack, Reviews, Video"
gourde dessin,33,33,210,73.58,0.00,https://cupkiller.com/fr/gourdes-thematiques/1299-gourde-personnalisee-ballerine.html,0,0,0.00,0.57,957000,"[13,10,13,18,18,44,100,44,100,82,82,54]",1583503340,"Image pack, Reviews, Video"
carafe plastique,88,88,260,79.65,0.60,https://cupkiller.com/fr/verres-personnalises-plastique/1438-carafe-15l-serigraphie-1-couleur.html,0,0,0.00,1,881000,"[54,67,67,82,82,100,67,67,82,67,67,82]",1584428257,"Image pack, Reviews, AdWords top, Shopping ads"
coupe de champagne png,24,24,170,75.9,0.00,https://cupkiller.com/fr/verres-personnalises/1358-flute-a-champagne-personnalisee.html,0,0,0.00,0,91,"[10,10,10,6,6,10,19,15,29,29,44,100]",1583810684,"Image pack, Reviews"
dancehall legends,37,37,70,85.79,0.00,https://cupkiller.com/actu//sean-paul-legende-du-reggae-dancehall-a-debarque-a-lyon-chez-notre-partenaire-du-transbordeur-,0,0,0.00,0,6060000,"[22,0,11,11,11,0,100,11,22,33,22,11]",1584220208,"Image pack, Reviews, Video Carousel"
festival son libre,46,46,210,75.86,0.00,https://cupkiller.com/fr/actu/blog/du-soleil-de-la-musique-et-des-artistes-cupkiller-partenaire-du-son-libre-festival-,0,0,0.00,0,149000000,"[13,10,16,30,44,67,100,8,5,5,6,6]",1583938922,"Knowledge panel, Image pack, Site links, Video Carousel"
canard duchene prix,40,40,170,81.81,0.07,https://cupkiller.com/fr/coffrets/1402-coffret-champagne-canard-duchene.html,0,0,0.00,1,86,"[100,54,27,54,54,35,54,54,100,35,100,81]",1584395890,"Image pack, Site links, Reviews, Shopping ads"
prix eco,54,54,50,82.35,0.00,https://cupkiller.com/,0,0,0.00,0.16,320000000,"[11,11,78,11,100,22,11,56,11,100,11,11]",1583585155,"Site links, Reviews"
son libre 2017,22,22,50,67.63,0.00,https://cupkiller.com/fr/actu/blog/du-soleil-de-la-musique-et-des-artistes-cupkiller-partenaire-du-son-libre-festival-,0,0,0.00,0,1310000000,"[33,33,33,33,33,67,33,100,33,67,33,33]",1582846639,"Image pack, Video Carousel"
verre de biere plastique,61,61,70,70.5,0.00,https://cupkiller.com/,0,0,0.00,0.86,3330000,"[22,11,0,0,33,11,100,11,22,44,11,11]",1582664544,"Image pack, Reviews"
coupe a vin personnalisé,31,31,70,65.21,0.00,https://cupkiller.com/fr/verres-personnalises/1354-verre-personnalise-cabernet-37cl.html,0,0,0.00,0,1350000,"[0,0,0,100,0,0,0,0,0,0,0,0]",1582792189,"Image pack, Site links, Reviews, Video"
