Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet plastique,16,16,6600,79.21,0.41,https://cupkiller.com/,33,0.26,13.00,1,20300000,"[30,45,45,45,55,55,55,82,67,67,67,100]",1584620170,"Image pack, Site links, Reviews, AdWords bottom"
gobelet personnalisé pour mariage,2,2,260,61.76,0.46,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,33,0.26,15.00,1,94,"[13,24,19,36,36,36,29,44,44,36,36,100]",1584248397,"Image pack, Site links, Reviews, Video"
verre plastique personnalisé,2,1,1300,67.36,0.45,https://cupkiller.com/,33,0.26,15.00,1,2790000,"[46,46,46,68,100,100,100,84,46,38,38,53]",1584593966,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique personnalisé mariage,2,2,260,65.45,0.47,https://cupkiller.com/fr/gobelet-serigraphie/807-gobelet-thematique-mariage-anniversaire.html,33,0.26,15.00,1,83,"[67,82,82,67,82,100,67,67,54,44,36,82]",1584547344,"Image pack, Site links, Reviews, Shopping ads, FAQ"
gobelet plastique personnalisable,2,2,260,65.5,0.90,https://cupkiller.com/,33,0.26,30.00,1,94900,"[36,44,54,44,67,82,100,100,100,67,82,67]",1583890279,"Image pack, Site links, Reviews"
ecocup killer,1,1,40,72.01,1.64,https://cupkiller.com/,32,0.25,52.00,1,87,"[50,100,50,100,50,50,50,100,50,50,50,50]",1582951742,"Image pack, Site links, Reviews, Video"
cupkiller dj,1,1,40,42.77,0.00,https://cupkiller.com/fr/actu/blog/cupkiller-a-lombre-des-gratte-ciel,32,0.25,0.00,0.29,18,"[0,33,0,0,33,33,0,33,0,0,33,100]",1582369198,"Image pack, Video Carousel"
gobelet plastique rigide,5,5,590,75.32,0.36,https://cupkiller.com/,29,0.23,10.00,1,91,"[16,44,55,67,67,82,100,100,67,55,55,82]",1584249026,"Image pack, Site links, Reviews, Video, AdWords top"
gobelet personnalisé anniversaire pas cher,3,3,320,65.68,0.67,https://cupkiller.com/,28,0.22,19.00,1,93,"[23,23,44,67,54,100,100,81,81,81,35,29]",1583827930,"Image pack, Site links, Reviews, Image, Shopping ads"
eco gobelet,7,7,720,63.88,1.00,https://cupkiller.com/,28,0.22,28.00,1,948000,"[39,72,88,100,100,72,48,72,72,59,39,72]",1584206473,"Image pack, Site links, Reviews"
gobelets personnalisés pas cher,2,2,210,66.19,1.27,https://cupkiller.com/,27,0.21,34.00,0.98,365000,"[34,44,81,81,100,81,81,81,100,53,53,34]",1583501117,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet plastique personnalisé,2,2,1000,68.15,0.58,https://cupkiller.com/,26,0.2,15.00,1,332000,"[46,46,46,46,84,100,100,68,53,46,31,46]",1584651484,"Image pack, Site links, Reviews, FAQ"
goblet cup,1,1,50,67.45,0.24,https://cupkiller.com/,23,0.18,5.00,1,13300000,"[100,14,14,14,14,29,14,14,14,14,14,14]",1582710891,"Image pack, Site links, Reviews, Video Carousel"
ecocup particulier,1,1,50,46.7,0.71,https://cupkiller.com/fr/actu//gobeletscom-des-gobelets-pour-les-particuliers-,23,0.18,16.00,0.76,11000,"[0,0,0,0,0,0,50,100,100,50,50,50]",1582447280,"Site links, Reviews"
gobelet incassable personnalisé,1,1,50,59.92,0.94,https://cupkiller.com/,23,0.18,22.00,1,73,"[50,100,100,100,0,0,50,50,100,100,50,50]",1583962103,"Image pack, Site links, Reviews, AdWords bottom, Shopping ads"
gobelet plastique logo,1,1,50,63.68,0.46,https://cupkiller.com/,23,0.18,10.00,1,2430000,"[0,0,0,0,14,43,29,14,14,100,14,14]",1583655938,"Image pack, Site links, Reviews, Shopping ads"
